licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Glenmore Generation Limited - P1004,Complaint,"P1004-02, 12/04/2025, Odour",2025-04-13T00:00:00+00:00,Open,2025-04-13T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=f405e0af-6418-f011-a373-0050568a2d1a,P1004,ca1c0802-73b4-e511-987f-0050568a69e2
MSD International GmbH - P0011,Monitoring Returns,P0011-06 Air Emissions Abatement Equipment Bypass Log - Qtr. 1 2025,2025-04-13T00:00:00+00:00,Open,2025-04-13T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=edc50fd9-3818-f011-a373-0050568a2d1a,P0011,78c80169-1164-478f-8852-2e93e44eb406
GP Wood Lissarda Limited - P0338,Annual Environmental Report,2024 AER,2025-04-13T00:00:00,Closed,2025-03-27T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2f8aed96-090b-f011-a373-0050568a2d1a,P0338,66b390c6-1f3f-48c3-ac1a-0c0bb14739de
Pfizer Ireland Pharmaceuticals Unlimited Company (Ringaskiddy) - P0013,Monitoring Returns,AER 2024: Noise Monitoring ,2025-04-13T00:00:00,Closed,2025-03-27T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=73c2140d-290b-f011-a373-0050568a2d1a,P0013,8e7289a5-44fc-4715-b9b6-a76e88c16c0d
Kerry Agri Business Trading Limited (Farranfore) - P1025,Annual Environmental Report,AER Summary 2024,2025-04-13T00:00:00,Closed,2025-03-28T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9c8d2244-c00b-f011-a373-0050568a2d1a,P1025,b396f391-c615-e611-99f8-0050568a69e2
Temmler Ireland Limited - P0813,Annual Environmental Report,AER 2024,2025-04-13T00:00:00,Closed,2025-03-28T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9ed93892-da0b-f011-a373-0050568a2d1a,P0813,57bd56bb-f991-4524-a992-671f91b5aa21
Howmedica International S.de R.L. Trading As Stryker Orthopaedics - P0023,Annual Environmental Report,Annual Environmental Report 2024,2025-04-13T00:00:00,Closed,2025-03-28T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b35a43ec-de0b-f011-a373-0050568a2d1a,P0023,126ab282-3315-4a6f-9777-c7fccd99abbc
Pfizer Ireland Pharmaceuticals Unlimited Company (Ringaskiddy) - P0013,Requests for Approval and Site Reports,AER 2024: Emissions Monitoring Report,2025-04-13T00:00:00,Closed,2025-03-27T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=bcf42b78-290b-f011-a373-0050568a2d1a,P0013,8e7289a5-44fc-4715-b9b6-a76e88c16c0d
Astellas Ireland Company Limited (Killorglin) - P0018,Annual Environmental Report,Annual Environmental Report 2024,2025-04-13T00:00:00,Closed,2025-03-28T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d71ce94a-e30b-f011-a373-0050568a2d1a,P0018,7a379cdb-c146-4a91-b5e4-98618154ad10
Pfizer Ireland Pharmaceuticals Unlimited Company (Ringaskiddy) - P0013,Annual Environmental Report,AER 2024 Bund and Drain Summary,2025-04-13T00:00:00,Closed,2025-03-27T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d85647b2-1f0b-f011-a373-0050568a2d1a,P0013,8e7289a5-44fc-4715-b9b6-a76e88c16c0d
Astellas Ireland Company Limited (Killorglin) - P0018,Monitoring Returns,Annual groundwater analysis results - 2024,2025-04-13T00:00:00,Closed,2025-03-28T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=fe1ba509-e40b-f011-a373-0050568a2d1a,P0018,7a379cdb-c146-4a91-b5e4-98618154ad10
Knockharley Landfill - W0146,Complaint,"W0146-04, 11/04/2025, odour",2025-04-11T00:00:00+00:00,Open,2025-04-11T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=55d33336-e216-f011-a373-0050568a2d1a,W0146,8a684cb8-e7fb-4d81-b843-20ffd7f4aeeb
Anglo Beef Processors Ireland Unlimited Company t/a ABP Proteins Waterford - P0040,Complaint,"P0040-03, 11/04/2025, Odour",2025-04-11T00:00:00+00:00,Open,2025-04-11T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=7de12a19-e516-f011-a373-0050568a2d1a,P0040,c4a88361-1b4e-4f46-89d9-6655753bb9e6
