licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Heraeus Metal Processing Limited - P0145,Monitoring Returns,Atmospheric Emissions Monitoring Results 2025 S1,2025-07-01T00:00:00+00:00,Closed,2025-05-19T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0f768362-a334-f011-a373-0050568a2d1a,P0145,d8574c18-c859-4f36-a0b0-3e93f96bc2f0
Buncrana Harbour - S0011,Site Updates/Notifications,S0011-03 Buncrana Plough Dredging 2025 Completion,2025-07-01T00:00:00+00:00,Closed,2025-06-05T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1dab9320-ff41-f011-a373-0050568a2d1a,S0011,d1e61a83-98a6-e611-8d41-0050568a69e2
Heraeus Metal Processing Limited - P0145,Monitoring Returns,	2024 Q3 Heraeus_Effluent Monitoring report,2025-07-01T00:00:00+00:00,Closed,2024-10-31T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3be821cb-9f97-ef11-a36b-0050568a2d1a,P0145,d8574c18-c859-4f36-a0b0-3e93f96bc2f0
Henkel Ireland Operations and Research Ireland Limited (Tallaght) - P0079,Monitoring Returns,2024 Q4 Emissions to sewer,2025-07-01T00:00:00+00:00,Closed,2025-03-21T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=50b06679-7006-f011-a373-0050568a2d1a,P0079,af2d8f84-1b57-424a-a46a-a029fa9d4cda
Lakeland Dairies Co-Operative Society Limited - P0798,Requests for Approval and Site Reports,2024 CCTV Drain Surveys,2025-07-01T00:00:00+00:00,Closed,2025-02-12T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7e8e81f5-23e9-ef11-a372-0050568a2d1a,P0798,b687da10-f8e6-41e7-8133-4cfc4525038a
Lakeland Dairies Co-Operative Society Limited - P0798,Site Updates/Notifications,Site Residuals Management,2025-07-01T00:00:00+00:00,Closed,2024-10-08T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=845220ab-9185-ef11-a36b-0050568a2d1a,P0798,b687da10-f8e6-41e7-8133-4cfc4525038a
Versiv Composites Limited - P0096,Monitoring Returns,2024 Noise Survey,2025-07-01T00:00:00+00:00,Closed,2025-03-31T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=91bc25f1-440e-f011-a373-0050568a2d1a,P0096,2d17b56f-096e-4ab5-8d7e-d8dda37577e7
Doora Landfill Site - W0031,Monitoring Returns,Landfill Flare 1st Biannual Monitoring Report 2025,2025-07-01T00:00:00+00:00,Closed,2025-06-03T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9fa7f0c7-5b40-f011-a373-0050568a2d1a,W0031,5ff95c14-6e51-49c6-8b88-0e0a54d5c705
Heraeus Metal Processing Limited - P0145,Monitoring Returns,2025_Q1-Heraeus_Effluent_Monitoring,2025-07-01T00:00:00+00:00,Closed,2025-05-01T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a66c0c88-9c26-f011-a373-0050568a2d1a,P0145,d8574c18-c859-4f36-a0b0-3e93f96bc2f0
Versiv Composites Limited - P0096,Monitoring Returns,Organics Report 2024,2025-07-01T00:00:00+00:00,Closed,2025-03-31T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=cd8c2b2f-450e-f011-a373-0050568a2d1a,P0096,2d17b56f-096e-4ab5-8d7e-d8dda37577e7
Heineken Ireland Limited - P0445,Monitoring Returns,Jan-Nov 2024 Monthly effluent monitoring reports,2025-07-01T00:00:00+00:00,Closed,2024-12-19T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=e1b289da-13be-ef11-a36d-0050568a2d1a,P0445,c52556b1-fa4b-4ba9-83bd-bdbf6e2ffa5c
